Total Contract Value (TCV),Account Name,Opportunity Name,Opportunity Stage,Fiscal Period,Opportunity Closure Date,Lead Source,Opportunity Type,Opportunity Owner,Secondary Practice Area,Gross Profit Margin (GPM %),Ascendion Office,Start Date,End Date,Last Modified Date,Commit Status,Probability (%),Created Date,Opportunity Creation Date as per User,Procurement Process,Execution Approach,Account Manager,Super Merge Client Name,Opportunity ID,ID(18 Characters),Previous Opportunity Stage,Opportunity Last Stage change Date,AVA Offering_Tracking,AVA Offering Multi Select Drop down (Val,AVA Platform Considered (Yes/No)?,Proactive?,Alliance Partner,Industry BU Group,Practice,Amount
550000,JPMorgan Chase & Co.,JPMC - CIB Wholesale Payments Engineers,Qualification,Q4-2023,10/31/23,Cold call,New Business,Alexandra Boiardi,,25,NYNJ,11/1/23,10/31/24,10/12/23,Low confidence,20,10/5/23,,Direct,Engineering projects,Alexandra Boiardi,JPMorgan Chase & Co.,0065c00001NhBlU,0065c00001NhBlUAAV,Qualification,10/4/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
1000000,JPMorgan Chase & Co.,JPMC - EP VCCM Scheduling Platform Modernization,Inquiry,Q4-2023,11/30/23,Geo,New Business,Alexandra Boiardi,Experience Engineering,30,NYNJ,,,10/23/23,Low confidence,0,2/21/23,2/21/23,Direct,Engineering projects,Alexandra Boiardi,JPMorgan Chase & Co.,0065c000018G0Pk,0065c000018G0PkAAK,Inquiry,,,,,Yes,,BFSI 1,Platform Engineering,
1,"Cadence Bank, N.A.",Cadence Bank Testing and Application Modernization,Investigation & Analysis,Q4-2023,11/30/23,Employee Referral,New Business,maleeka plummer,,,"Nashville, TN",8/9/23,10/1/23,8/9/23,Low confidence,10,8/9/23,8/9/23,Proactive pitch,Engineering projects,Maleeka Plummer,,0065c00001Me8Fe,0065c00001Me8FeAAJ,,8/8/23 17:00,,,,Yes,AWS; MuleSoft,BFSI 1,Platform Engineering,
344520,JPMorgan Chase & Co.,JPMC - CIB FRB Tax Technology Platform Integration,Proposal Presentation,Q4-2023,10/30/23,Cold call,New Business,Emily Esquinaldo,,25,"Tampa, FL",10/31/23,9/30/24,10/23/23,High quality,50,7/21/23,7/21/23,Direct,Engineering projects,Emily Esquinaldo,JPMorgan Chase & Co.,0065c00001M2jkZ,0065c00001M2jkZAAR,Proposal Creation,10/22/23 17:00,,,,No,,BFSI 1,Platform Engineering,
50000,Citigroup Inc.,Neelam Waswani - Corporate Actions platform rationalization,Inquiry,Q1-2024,3/31/24,Geo,New Business,Rahul Naithani,,30,"Tampa, FL",7/3/23,12/29/23,8/23/23,Low confidence,0,1/4/23,1/4/23,N/A,Engineering projects,Emily Esquinaldo,Citigroup Inc.,0065c0000169K6P,0065c0000169K6PAAU,Inquiry,,,,,No,,BFSI 1,Platform Engineering,
382556,JPMorgan Chase & Co.,JPMC - CIB Payments Authorization- Developers- EE,Negotiation/Review,Q4-2023,10/31/23,Cold call,New Business,Amir Tal,,30,"Tampa, FL",10/30/23,10/28/24,10/23/23,Commit,80,8/25/23,8/25/23,Direct,DDS,Emily Esquinaldo,JPMorgan Chase & Co.,0065c00001Mnd9L,0065c00001Mnd9LAAR,Negotiation/Review,10/10/23 17:00,,,,No,,BFSI 1,Platform Engineering,
130000,FMR LLC (Fidelity),JUMP - Full stack java,Inquiry,Q3-2023,9/29/23,Employee Referral,New Business,Alok Gaur,,,Direct - No Region,,,7/13/23,,0,7/13/23,7/13/23,Direct,JUMP,Malek Sultani,FMR LLC (Fidelity),0065c00001LMWi9,0065c00001LMWi9AAH,,7/12/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
316800,JPMorgan Chase & Co.,"JPMC - CT UI Path, Python, Alteryx",Qualification,Q4-2023,11/30/23,Other,New Business,Anil Malgikar,,30,Direct - No Region,11/1/23,10/31/24,10/23/23,Low confidence,20,10/11/23,,Direct,Engineering projects,Anil Malgikar,JPMorgan Chase & Co.,0065c00001NiMAQ,0065c00001NiMAQAA3,Qualification,10/22/23 17:00,,,,No,,BFSI 1,Platform Engineering,
190000,JPMorgan Chase & Co.,JPMC - CB EDH AWS Migration,Investigation & Analysis,Q4-2023,11/30/23,Other,New Business,Anil Malgikar,,30,Direct - No Region,11/1/23,10/31/24,10/23/23,Low confidence,10,10/11/23,,Direct,Engineering projects,Anil Malgikar,JPMorgan Chase & Co.,0065c00001NiMia,0065c00001NiMiaAAF,Investigation & Analysis,10/10/23 17:00,,,,Yes,,BFSI 1,Platform Engineering,
100000,Citigroup Inc.,Satbir Dhaliwal - Data Quality AI solution,Qualification,Q4-2023,11/30/23,Other,New Business,Rahul Naithani,,,"Dallas, TX",8/31/23,12/31/23,9/25/23,Low confidence,20,8/9/23,8/1/23,Proactive pitch,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c00001Me9dS,0065c00001Me9dSAAR,Qualification,8/8/23 17:00,,,,Yes,,BFSI 1,AI & Data Engineering,
200000,Citigroup Inc.,Vaibhav Kumar - Data Pod,Qualification,Q1-2024,3/1/24,Geo,New Business,Rahul Naithani,,,"Dallas, TX",8/1/23,12/31/23,8/23/23,Low confidence,30,4/26/23,12/31/24,Proactive pitch,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c00001CafNx,0065c00001CafNxAAJ,Qualification,4/26/23 11:15,,,,Yes,,BFSI 1,AI & Data Engineering,
200000,Citigroup Inc.,Vinod Rajaram - Banking Data science practice buildout,Proposal Presentation,Q1-2024,3/4/24,Other,New Business,Rahul Naithani,,,"Dallas, TX",9/1/23,12/31/23,10/9/23,,50,8/9/23,8/9/23,Proactive pitch,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c00001Me9Td,0065c00001Me9TdAAJ,Proposal Presentation,8/8/23 17:00,,,,Yes,,BFSI 1,AI & Data Engineering,
3000000,Citigroup Inc.,Pramod Gawas - AML - Data Engineering,Investigation & Analysis,Q1-2024,3/30/24,Geo,New Business,Rahul Naithani,MDM,,NYNJ,12/1/22,1/31/23,8/23/23,Low confidence,10,11/9/22,11/9/22,Direct Procurement,DDS,Geetanjali Khatri,Citigroup Inc.,0065c000014qxME,0065c000014qxMEAAY,Investigation & Analysis,,,,No,Yes,,BFSI 1,AI & Data Engineering,
100000,Citigroup Inc.,Michael DeMarco - AI driven document digitization,Inquiry,Q1-2024,3/31/24,Geo,New Business,Rahul Naithani,,,"Dallas, TX",,,9/25/23,Low confidence,10,2/27/23,2/27/23,Proactive pitch,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c000018z9yH,0065c000018z9yHAAQ,Inquiry,,,,,Yes,,BFSI 1,AI & Data Engineering,
250000,Citigroup Inc.,Rangesh Jagannathan - No SQL DB Factory,Investigation & Analysis,Q2-2024,4/1/24,Geo,New Business,Rahul Naithani,Data Pipelines,30,"Dallas, TX",5/1/23,12/31/23,10/9/23,Low confidence,10,1/4/23,1/4/23,N/A,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c0000169IDC,0065c0000169IDCAA2,Investigation & Analysis,,,,,Yes,,BFSI 1,AI & Data Engineering,
350000,Tri Counties Bank,Tri Counties Bank- Data Warehouse- SOW,Negotiation/Review,Q3-2023,9/28/23,Cold call,New Business,patrick upright,,35,Sacramento,10/1/23,10/1/24,8/31/23,High quality,80,8/31/23,8/31/23,Direct,Engineering projects,Patrick Upright,,0065c00001MpdTA,0065c00001MpdTAAAZ,,8/30/23 17:00,,,,No,,BFSI 1,AI & Data Engineering,
300000,Capital One Financial Corporation,Data Analyst SOW,Qualification,Q4-2023,12/1/23,Cold call,New Business,michael stearman,,,"Washington D.C, DC",10/16/23,1/24/24,8/8/23,Low confidence,20,6/27/23,6/27/23,Proactive pitch,Engineering projects,Michael Stearman,Capital One Financial Corporation,0065c00001Ia013,0065c00001Ia013AAB,Qualification,6/26/23 17:00,,,,No,,BFSI 1,AI & Data Engineering,
1800000,JPMorgan Chase & Co.,JPMC - CT Reference Data,Inquiry,Q1-2024,1/5/24,Cold call,New Business,Casey Warrick,,35,"Chicago, IL",1/15/24,1/15/25,10/23/23,Low confidence,0,9/28/23,,Direct,Cognixia,Casey Warrick,JPMorgan Chase & Co.,0065c00001NfcAf,0065c00001NfcAfAAJ,Inquiry,9/27/23 17:00,,,,No,Databricks,BFSI 1,AI & Data Engineering,
1,Associated Bank,Associated Bank,Negotiation/Review,Q4-2023,11/16/23,Conference / Networking Event,New Business,Patrick Chamberlain,,,"Milwaukee, WI",9/28/23,12/28/23,9/29/23,High quality,80,9/29/23,,Direct,Engineering projects,Maleeka Catron,,0065c00001NftXJ,0065c00001NftXJAAZ,,9/28/23 17:00,,,,Yes,,BFSI 1,AI & Data Engineering,
1,Capital One Financial Corporation,Creating Customer Digital Experience,Investigation & Analysis,Q4-2023,11/30/23,Industry,New Business,Rohit Magan,Data Quality,35,Direct - No Region,12/18/23,12/29/23,10/9/23,Low confidence,10,8/22/22,8/22/22,Direct Procurement,Engineering projects,No Geo AM Involved,Capital One Financial Corporation,0065c000011B6yn,0065c000011B6ynAAC,Investigation & Analysis,,,,No,No,,BFSI 1,AI & Data Engineering,
200000,Citigroup Inc.,Alwin Lee - Data Quality Support- AVA ADE- Global Legal Affairs,Inquiry,Q1-2024,3/4/24,Cold call,New Business,Rahul Naithani,,,"Tampa, FL",,,10/9/23,Low confidence,0,6/29/23,6/29/23,Direct,Engineering projects,Emily Esquinaldo,Citigroup Inc.,0065c00001K4kcL,0065c00001K4kcLAAR,Inquiry,6/28/23 17:00,,,,Yes,,BFSI 1,AI & Data Engineering,
200000,Citigroup Inc.,Puneet Bhargava - Citi- EE- Data CoE Training and Talent,Inquiry,Q1-2024,3/4/24,Cold call,New Business,Rahul Naithani,,,"Tampa, FL",,,10/9/23,Low confidence,0,8/2/23,8/2/23,Direct,JUMP,Emily Esquinaldo,Citigroup Inc.,0065c00001JEgVE,0065c00001JEgVEAA1,Inquiry,8/1/23 17:00,,,,No,,BFSI 1,AI & Data Engineering,
250000,JPMorgan Chase & Co.,JPMC - CT Legal Tech Gen AI,Inquiry,Q1-2024,1/1/24,Client Referral,New Business,Max Montgomery,,,"Chicago, IL",,,10/23/23,Low confidence,0,10/9/23,,Direct,Engineering projects,Max Montgomery,JPMorgan Chase & Co.,0065c00001Ni1YV,0065c00001Ni1YVAAZ,Inquiry,10/8/23 17:00,,,,Yes,,BFSI 1,AI & Data Engineering,
1000000,JPMorgan Chase & Co.,JPMC - CT Legal Tech Data Lake Migration,Inquiry,Q1-2024,3/1/24,Client Referral,New Business,Max Montgomery,,,"Chicago, IL",,,10/23/23,Low confidence,0,10/17/23,,Direct,Engineering projects,Max Montgomery,JPMorgan Chase & Co.,0065c00001O4cE0,0065c00001O4cE0AAJ,Inquiry,10/16/23 17:00,,,,No,AWS,BFSI 1,AI & Data Engineering,
200000,Citigroup Inc.,Vinod Rajaram - QE Automation,Proposal Presentation,Q1-2024,3/4/24,Other,New Business,Rahul Naithani,,,"Dallas, TX",9/1/23,12/31/23,10/9/23,,50,8/9/23,8/9/23,Proactive pitch,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c00001Me9PB,0065c00001Me9PBAAZ,Proposal Presentation,8/8/23 17:00,,,,Yes,,BFSI 1,Quality Engineering,
500000,Citigroup Inc.,Satveer Singh - QE Transformation (GFT),Investigation & Analysis,Q1-2024,3/4/24,Geo,New Business,Rahul Naithani,Test Automation,,"Dallas, TX",2/9/23,5/31/23,10/9/23,Low confidence,10,2/9/23,2/9/23,N/A,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c000017UPGJ,0065c000017UPGJAA4,Investigation & Analysis,,,,,Yes,,BFSI 1,Quality Engineering,
40000,Citigroup Inc.,David Halle - Chennai QE seed team,Proposal Creation,Q1-2024,3/4/24,Geo,New Business,Rahul Naithani,,,"Dallas, TX",8/1/23,12/30/23,10/9/23,,30,4/26/23,4/26/23,Proactive pitch,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c00001CafUH,0065c00001CafUHAAZ,Proposal Creation,6/26/23 17:00,,,,Yes,,BFSI 1,Quality Engineering,
100000,JPMorgan Chase & Co.,JPMC GTI SAAS Application Testing RFI,Inquiry,Q4-2023,12/29/23,Other,New Business,Amir Tal,,,Direct - No Region,,,10/2/23,Low confidence,0,9/7/23,8/24/23,RFI,Engineering projects,Karin Israel,JPMorgan Chase & Co.,0065c00001NGHjk,0065c00001NGHjkAAH,Inquiry,9/6/23 17:00,,,,No,,BFSI 1,Quality Engineering,
1300000,Ally Financial Inc.,FICO QA - Decsioning platform,Inquiry,Q4-2023,11/13/23,Other,New Business,Tim Halenkamp,,35,"Detroit, MI",1/1/24,12/31/24,8/31/23,Low confidence,0,8/31/23,8/25/23,Direct,DDS,Justin Kimling,Ally Commerce,0065c00001MpaHg,0065c00001MpaHgAAJ,,8/30/23 17:00,,,,No,,BFSI 1,Quality Engineering,
500000,Citigroup Inc.,Tony Bender - QE Transformation (PBWM),Investigation & Analysis,Q4-2023,12/15/23,Geo,New Business,Rahul Naithani,Test Automation,,"Tampa, FL",2/9/23,7/31/23,9/25/23,Low confidence,10,2/9/23,2/9/23,N/A,Engineering projects,Emily Esquinaldo,Citigroup Inc.,0065c000017UPIU,0065c000017UPIUAA4,Investigation & Analysis,,,,,Yes,,BFSI 1,Quality Engineering,
1,JPMorgan Chase & Co.,JPMC CCB CXLoyalty- Chase travel Cards,Inquiry,Q1-2024,2/29/24,Cold call,New Business,Anil Malgikar,,,Direct - No Region,,,10/2/23,Low confidence,10,9/25/23,,Proactive pitch,Engineering projects,Anil Malgikar,JPMorgan Chase & Co.,0065c00001NetJW,0065c00001NetJWAAZ,Inquiry,9/24/23 17:00,,,,Yes,,BFSI 1,Enterprise Solutions,
2500000,Capital One Financial Corporation,Cyber Operations - ACM/Audit operations,Investigation & Analysis,Q4-2023,12/4/23,Client Referral,New Business,Ritesh Brahmbhatt,,25,Direct - No Region,12/4/23,12/31/24,10/5/23,Low confidence,20,10/5/23,,Direct,Engineering projects,Timothy Phillips,Capital One Financial Corporation,0065c00001NhD27,0065c00001NhD27AAF,Investigation & Analysis,10/4/23 17:00,,,,No,,BFSI 1,Platform Operations,
220000,Fannie Mae,Bus Analyst -Singh,Negotiation/Review,Q4-2023,11/3/23,Other,New Business,Stephen Brown,,22,"Washington D.C, DC",10/9/23,9/28/24,10/23/23,Commit,80,9/28/23,,Direct,Engineering projects,Michael Stearman,Fannie Mae,0065c00001NfdA0,0065c00001NfdA0AAJ,Negotiation/Review,9/27/23 17:00,,,,No,,BFSI 1,Platform Operations,
400000,Associated Banc Corp,DevOps Practice Acceleration,Proposal Presentation,Q4-2023,10/31/23,Geo,New Business,Kevin Benfer,Cloud Infrastructure Management,35,"Milwaukee, WI",4/24/23,10/27/23,10/2/23,,50,2/1/23,2/1/23,Direct Procurement,Engineering projects,Joseph Hoevener,,0065c000016e1Mc,0065c000016e1McAAI,Proposal Presentation,4/26/23 8:37,,,N/A,No,,BFSI 1,Platform Operations,
336000,"Fidelity National Information Services, Inc.",CeB Websphere/linux upgrade,Negotiation/Review,Q4-2023,11/3/23,Other,New Business,Tim Halenkamp,,35,"Tampa, FL",11/1/23,12/29/23,10/23/23,Commit,80,8/31/23,8/31/23,Direct,Engineering projects,Alayna Constantine,"Fidelity National Information Services, Inc.",0065c00001MpYg3,0065c00001MpYg3AAF,Negotiation/Review,10/2/23 17:00,,,,No,,BFSI 1,Platform Operations,
200000,"Fidelity National Information Services, Inc.",FIS - AVA ICE Audit,Investigation & Analysis,Q4-2023,10/30/23,Cold call,New Business,alayna constantine,,,"Tampa, FL",10/30/23,12/31/23,8/23/23,Low confidence,10,8/22/23,8/22/23,Direct,Engineering projects,Alayna Constantine,"Fidelity National Information Services, Inc.",0065c00001MmvbO,0065c00001MmvbOAAR,Investigation & Analysis,8/21/23 17:00,,,,No,,BFSI 1,Platform Operations,
200000,Citigroup Inc.,Vinod Rajaram - Banking UX transformation,Proposal Presentation,Q1-2024,3/4/24,Cold call,New Business,Rahul Naithani,,,"Dallas, TX",9/1/23,12/31/23,10/9/23,,50,8/9/23,8/9/23,Proactive pitch,Engineering projects,Geetanjali Khatri,Citigroup Inc.,0065c00001Me9Jw,0065c00001Me9JwAAJ,Proposal Presentation,8/8/23 17:00,,,,Yes,,BFSI 1,Experience Engineering,
150000,JPMorgan Chase & Co.,JPMC - Mobile App Development,Qualification,Q4-2023,11/30/23,Other,New Business,Anil Malgikar,,30,Direct - No Region,12/1/23,11/29/24,10/23/23,Low confidence,20,10/13/23,,Direct,Engineering projects,Anil Malgikar,JPMorgan Chase & Co.,0065c00001NinjU,0065c00001NinjUAAR,Qualification,10/22/23 17:00,,,,Yes,,BFSI 1,Experience Engineering,
1,Ally Financial Inc.,Digital ascender - iwarranty,Inquiry,Q1-2024,1/5/24,Other,New Business,Tim Halenkamp,,,"Detroit, MI",,,10/5/23,Low confidence,0,10/5/23,,Direct,Engineering projects,Justin Kimling,Ally Commerce,0065c00001NhD1T,0065c00001NhD1TAAV,,10/4/23 17:00,,,,Yes,,BFSI 1,Generative AI,
